City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
183,Goderich,CA,2022-05-22 21:12:13,43.7501,-81.7165,46.9,90,100,10.67,overcast clouds
184,Deputatskiy,RU,2022-05-22 21:10:30,69.3,139.9,29.8,90,82,2.15,broken clouds
185,Port Lincoln,AU,2022-05-22 21:19:25,-34.7333,135.8667,60.48,78,100,9.44,overcast clouds
186,Cedar City,US,2022-05-22 21:12:13,37.6775,-113.0619,72.57,11,0,20.71,clear sky
187,Jijiga,ET,2022-05-22 21:12:14,9.35,42.8,67.21,41,91,1.48,overcast clouds
188,Zhezkazgan,KZ,2022-05-22 21:12:14,47.8043,67.7144,49.48,31,0,8.88,clear sky
189,Huarmey,PE,2022-05-22 21:12:15,-10.0681,-78.1522,69.53,74,10,8.77,clear sky
190,Santa Helena De Goias,BR,2022-05-22 21:12:15,-17.8136,-50.5969,67.73,38,0,1.79,clear sky
191,Paracuru,BR,2022-05-22 21:12:15,-3.41,-39.0306,79.11,88,17,8.03,few clouds
192,Esperance,AU,2022-05-22 21:09:38,-33.8667,121.9,61.43,83,9,11.48,clear sky
193,Dunedin,NZ,2022-05-22 21:09:31,-45.8742,170.5036,49.8,56,61,7.0,broken clouds
194,Uspenka,UA,2022-05-22 21:12:16,48.3903,39.1619,50.16,90,23,10.18,few clouds
195,Saint-Augustin,CA,2022-05-22 21:12:17,51.226,-58.6502,54.45,79,68,11.41,broken clouds
196,Tomatlan,MX,2022-05-22 21:12:17,19.9333,-105.25,90.52,40,0,12.88,clear sky
197,Rio Grande,BR,2022-05-22 21:12:17,-32.035,-52.0986,58.95,76,0,6.31,clear sky
198,Longyearbyen,SJ,2022-05-22 21:19:26,78.2186,15.6401,35.44,87,75,0.0,broken clouds
199,Peniche,PT,2022-05-22 21:12:18,39.3558,-9.3811,62.29,95,95,13.13,overcast clouds
200,Moree,AU,2022-05-22 21:19:27,-29.4667,149.85,56.43,77,100,6.64,overcast clouds
201,Kulevcha,UA,2022-05-22 21:12:13,46.0303,29.9361,55.63,66,100,7.11,overcast clouds
202,Ahuimanu,US,2022-05-22 21:12:18,21.4447,-157.8378,83.91,65,75,17.27,broken clouds
203,Svetlogorsk,BY,2022-05-22 21:12:18,52.6333,29.7333,46.24,90,100,6.44,overcast clouds
204,Bambous Virieux,MU,2022-05-22 21:19:27,-20.3428,57.7575,73.65,78,20,8.05,few clouds
205,Kano,NG,2022-05-22 21:12:19,12.0001,8.5167,89.91,18,41,5.28,scattered clouds
206,Galle,LK,2022-05-22 21:19:28,6.0367,80.217,79.88,86,34,12.01,scattered clouds
207,Husavik,IS,2022-05-22 21:19:28,66.0449,-17.3389,37.76,96,100,8.93,overcast clouds
208,Santa Marta,CO,2022-05-22 21:12:19,11.2408,-74.199,85.32,72,17,17.11,few clouds
209,Illapel,CL,2022-05-22 21:12:20,-31.6308,-71.1653,65.71,51,99,4.5,overcast clouds
210,Ray,IN,2022-05-22 21:12:20,23.6833,85.05,77.49,54,20,5.75,few clouds
211,Viedma,AR,2022-05-22 21:12:20,-40.8135,-62.9967,56.35,46,100,15.5,light rain
212,Yumen,CN,2022-05-22 21:12:20,40.2833,97.2,61.88,34,22,15.19,few clouds
213,Pinas,EC,2022-05-22 21:12:21,-3.6667,-79.65,72.64,87,77,5.48,light rain
214,Chicama,PE,2022-05-22 21:12:21,-7.8447,-79.1469,64.94,67,19,9.42,few clouds
215,Thompson,CA,2022-05-22 21:19:29,55.7435,-97.8558,62.76,20,100,14.97,overcast clouds
216,Bermejo,AR,2022-05-22 21:12:22,-32.8833,-68.8,67.1,24,36,5.91,scattered clouds
217,Flinders,AU,2022-05-22 21:09:39,-34.5833,150.8552,54.18,92,99,1.99,light rain
218,Mar Del Plata,AR,2022-05-22 21:16:33,-38.0023,-57.5575,58.95,62,0,3.44,clear sky
219,Haimen,CN,2022-05-22 21:12:23,23.1935,116.6142,71.35,90,100,12.12,light rain
220,Pevek,RU,2022-05-22 21:19:30,69.7008,170.3133,34.7,91,63,10.54,broken clouds
221,Saskylakh,RU,2022-05-22 21:19:30,71.9167,114.0833,32.86,98,100,9.55,overcast clouds
222,Saurimo,AO,2022-05-22 21:12:23,-9.6608,20.3916,65.53,47,91,5.17,overcast clouds
223,Victoria,HK,2022-05-22 21:17:54,22.2855,114.1577,75.96,92,94,11.99,overcast clouds
224,Djibo,BF,2022-05-22 21:12:24,14.1022,-1.6306,89.51,35,100,10.0,light rain
225,Sorland,NO,2022-05-22 21:19:31,67.667,12.6934,46.26,92,98,6.89,overcast clouds
226,Nizhniy Kuranakh,RU,2022-05-22 21:12:24,58.8353,125.4869,41.59,78,67,1.19,broken clouds
227,Upernavik,GL,2022-05-22 21:19:31,72.7868,-56.1549,31.82,98,100,17.76,snow
228,Praia Da Vitoria,PT,2022-05-22 21:10:32,38.7333,-27.0667,64.76,97,100,4.81,overcast clouds
229,Lyubinskiy,RU,2022-05-22 21:12:25,55.1542,72.6925,44.28,77,12,13.02,few clouds
230,Dongsheng,CN,2022-05-22 21:19:31,39.8161,109.9776,55.51,70,14,2.77,few clouds
231,Pimenta Bueno,BR,2022-05-22 21:08:49,-11.6725,-61.1936,79.23,74,10,1.99,clear sky
232,New Norfolk,AU,2022-05-22 21:19:32,-42.7826,147.0587,49.91,87,66,2.04,broken clouds
233,Ushtobe,KZ,2022-05-22 21:12:25,45.2514,77.9838,61.9,32,100,5.7,light rain
234,Corn Island,NI,2022-05-22 21:12:26,12.1694,-83.0418,82.02,78,99,13.33,overcast clouds
235,Rabo De Peixe,PT,2022-05-22 21:12:26,37.8,-25.5833,69.28,90,75,5.75,mist
236,Cidreira,BR,2022-05-22 21:19:32,-30.1811,-50.2056,59.9,72,98,5.12,overcast clouds
237,Neryungri,RU,2022-05-22 21:12:26,56.6709,124.6491,33.78,95,97,1.68,overcast clouds
238,Araouane,ML,2022-05-22 21:12:27,18.9048,-3.5265,92.97,7,0,10.42,clear sky
239,Buala,SB,2022-05-22 21:19:33,-8.145,159.5921,82.02,76,10,4.68,clear sky
240,Kahului,US,2022-05-22 21:11:47,20.8947,-156.47,87.82,56,0,20.71,clear sky
241,Hambantota,LK,2022-05-22 21:05:20,6.1241,81.1185,79.32,84,86,17.07,overcast clouds
242,Kodiak,US,2022-05-22 21:19:33,57.79,-152.4072,47.71,81,100,17.27,overcast clouds
243,Cabra,ES,2022-05-22 21:12:27,37.4725,-4.4421,70.66,61,0,5.01,clear sky
244,Cap Malheureux,MU,2022-05-22 21:10:33,-19.9842,57.6142,71.47,79,5,5.01,light rain
245,Provideniya,RU,2022-05-22 21:19:34,64.3833,-173.3,51.91,58,0,18.01,clear sky
246,Taoudenni,ML,2022-05-22 21:19:34,22.6783,-3.9836,93.97,9,0,10.27,clear sky
247,Tuatapere,NZ,2022-05-22 21:19:35,-46.1333,167.6833,44.29,83,59,7.83,broken clouds
248,Vagur,FO,2022-05-22 21:10:33,61.4732,-6.8119,47.66,87,23,4.63,few clouds
249,Hovd,MN,2022-05-22 21:19:35,48.0056,91.6419,62.24,21,99,1.66,overcast clouds
250,Troitskoye,RU,2022-05-22 21:12:28,52.9821,84.6757,54.82,61,24,13.85,few clouds
251,Berbera,SO,2022-05-22 21:12:29,10.4396,45.0143,87.55,56,100,2.91,overcast clouds
252,Hirado,JP,2022-05-22 21:12:29,33.3597,129.5531,64.38,80,100,3.78,overcast clouds
253,Sokoto,NG,2022-05-22 21:12:29,13.0609,5.239,82.8,48,96,16.42,overcast clouds
254,Sovetskiy,RU,2022-05-22 21:12:30,61.3614,63.5842,36.54,97,100,9.53,overcast clouds
255,Shimoda,JP,2022-05-22 21:19:36,34.6667,138.95,66.02,81,15,8.3,few clouds
256,Cockburn Town,TC,2022-05-22 21:10:04,21.4612,-71.1419,82.36,69,40,17.27,scattered clouds
257,Egvekinot,RU,2022-05-22 21:12:30,66.3167,-179.1667,45.77,51,99,0.43,overcast clouds
258,Camocim,BR,2022-05-22 21:12:30,-2.9022,-40.8411,77.13,88,64,5.41,broken clouds
259,Tura,IN,2022-05-22 21:12:31,25.5198,90.2201,72.09,93,82,2.17,broken clouds
260,Bonavista,CA,2022-05-22 21:19:37,48.6499,-53.1147,53.02,70,100,13.87,overcast clouds
261,Klaksvik,FO,2022-05-22 21:19:37,62.2266,-6.589,50.92,90,36,5.23,scattered clouds
