City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
68,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
72,Touros,BR,76.17,few clouds,-5.1989,-35.4608,INN NEW HORIZON
74,Labuhan,ID,78.93,overcast clouds,-6.8844,112.2051,DoubleFAG
79,Kieta,PG,80.06,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
81,Ulaangom,MN,65.01,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
82,San Cristobal,VE,81.82,clear sky,7.7669,-72.225,Pirineos
84,Mananara,MG,71.01,light rain,-16.1667,49.7667,Chez Roger
85,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Antequera,ES,72.95,clear sky,37.0194,-4.5612,Convento de la Magdalena
89,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Arrah,IN,76.89,clear sky,25.5667,84.6667,Hotel The Regal- Arrah
93,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Rio Cuarto,AR,69.57,clear sky,-33.1307,-64.3499,Hotel Menossi
95,Nagato,JP,66.2,scattered clouds,34.3833,131.2,いそう庵
98,Ndele,CF,80.35,overcast clouds,8.4109,20.6473,
99,Cerreto Guidi,IT,67.1,overcast clouds,43.7607,10.8761,Agriturismo Streda - wine&country holiday
100,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
101,Diamantino,BR,77.79,broken clouds,-14.4086,-56.4461,Hotel Delta
102,Hami,CN,78.46,overcast clouds,42.8,93.45,Laoyutang Resort
103,Shache,CN,69.57,overcast clouds,38.4167,77.2406,Delong Hotel
104,Ganzhou,CN,65.35,light rain,28.8184,115.4327,Zhanqian Grand Hotel
105,Praya,CV,72.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
109,Sooke,CA,68.02,overcast clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
111,Jalu,LY,73.78,clear sky,29.0331,21.5482,صاحبة الفخامة
112,San Quintin,MX,65.79,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
113,Banapur,IN,83.88,overcast clouds,19.7833,85.1833,Digantika hotel
116,Lompoc,US,80.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
119,Daru,PG,80.37,broken clouds,-9.0763,143.2092,Daru Lodge
123,Arraial Do Cabo,BR,71.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
128,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
130,Butaritari,KI,81.91,broken clouds,3.0707,172.7902,Isles Sunset Lodge
132,Vallenar,CL,75.97,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
134,Alta Floresta,BR,75.76,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
137,Portland,US,75.06,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
145,Zemio,CF,71.83,overcast clouds,5.0314,25.1361,OCHA Office
146,Eureka,US,73.67,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
152,Ziyang,CN,65.61,moderate rain,29.2497,117.8547,Wuyuan Great Wall Hotel
153,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
159,Thayetmyo,MM,82.13,scattered clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
160,Kiunga,PG,72.86,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
162,Yomou,GN,70.65,moderate rain,7.5603,-9.2653,
163,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
170,Katsuura,JP,66.31,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
179,Ames,US,66.11,scattered clouds,42.0347,-93.6199,"Holiday Inn Express & Suites Ames, an IHG Hotel"
181,Kouroussa,GN,81.64,broken clouds,10.65,-9.8833,Hotel Tando Plus
186,Cedar City,US,72.57,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
187,Jijiga,ET,67.21,overcast clouds,9.35,42.8,RAMAAS HOTEL
189,Huarmey,PE,69.53,clear sky,-10.0681,-78.1522,Hotel Miramar
190,Santa Helena De Goias,BR,67.73,clear sky,-17.8136,-50.5969,Castro Castle Hotel
191,Paracuru,BR,79.11,few clouds,-3.41,-39.0306,Hotel Vento Brasil
202,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
204,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
206,Galle,LK,79.88,scattered clouds,6.0367,80.217,Amangalla
209,Illapel,CL,65.71,overcast clouds,-31.6308,-71.1653,Hotel Londres
210,Ray,IN,77.49,few clouds,23.6833,85.05,Bablu Cake Corner
213,Pinas,EC,72.64,light rain,-3.6667,-79.65,Hostería Florecer
216,Bermejo,AR,67.1,scattered clouds,-32.8833,-68.8,Hotel Mendoza
219,Haimen,CN,71.35,light rain,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
222,Saurimo,AO,65.53,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
223,Victoria,HK,75.96,overcast clouds,22.2855,114.1577,Mini Central
231,Pimenta Bueno,BR,79.23,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
234,Corn Island,NI,82.02,overcast clouds,12.1694,-83.0418,Big Fish Guest House
235,Rabo De Peixe,PT,69.28,mist,37.8,-25.5833,Quinta das Giestas
239,Buala,SB,82.02,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
241,Hambantota,LK,79.32,overcast clouds,6.1241,81.1185,Bungalow 63
243,Cabra,ES,70.66,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
