City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Dabola,GN,2022-04-28 00:05:38,10.75,-11.1167,80.53,64,93,5.23
108,Rawson,AR,2022-04-28 00:05:38,-43.3002,-65.1023,45.43,60,100,18.52
109,Constitucion,CL,2022-04-28 00:05:38,-35.3333,-72.4167,52.05,88,50,3.27
110,Puerto Ayora,EC,2022-04-28 00:05:39,-0.7393,-90.3518,73.27,89,31,7.25
111,Baykit,RU,2022-04-28 00:05:39,61.67,96.37,31.82,82,100,3.18
112,Cooma,AU,2022-04-28 00:05:39,-36.2333,149.1333,56.97,100,75,9.22
113,Aloleng,PH,2022-04-28 00:05:40,16.1307,119.7824,85.5,63,50,11.95
114,Bilma,NE,2022-04-28 00:05:40,18.6853,12.9164,86.79,10,0,5.66
115,Springbok,ZA,2022-04-28 00:05:40,-29.6643,17.8865,62.74,28,0,6.85
116,Ostrovnoy,RU,2022-04-28 00:04:26,68.0531,39.5131,20.95,79,89,28.05
117,Yellowknife,CA,2022-04-28 00:04:54,62.456,-114.3525,50.56,39,49,11.99
118,Norman Wells,CA,2022-04-28 00:05:41,65.282,-126.8329,35.62,77,100,7.25
119,Cidreira,BR,2022-04-28 00:05:41,-30.1811,-50.2056,71.2,95,5,8.95
120,Hualmay,PE,2022-04-28 00:05:41,-11.0964,-77.6139,66.81,87,89,7.94
121,Samarai,PG,2022-04-28 00:05:41,-10.6167,150.6667,84.02,70,97,3.2
122,Bethel,US,2022-04-28 00:05:42,41.3712,-73.414,46.76,53,100,16.11
123,Bahia Blanca,AR,2022-04-28 00:05:42,-38.7196,-62.2724,59.97,29,55,22.48
124,Bitung,ID,2022-04-28 00:05:42,1.4451,125.1824,81.45,77,100,4.92
125,Cap Malheureux,MU,2022-04-28 00:05:43,-19.9842,57.6142,73.47,85,6,5.5
126,Necochea,AR,2022-04-28 00:05:22,-38.5473,-58.7368,55.76,49,0,18.86
127,Sobolevo,RU,2022-04-28 00:05:43,54.4299,31.8996,37.2,69,99,5.01
128,Vaini,TO,2022-04-28 00:05:43,-21.2,-175.2,78.39,58,11,20.92
129,Padang,ID,2022-04-28 00:05:44,-0.9492,100.3543,75.25,87,96,3.04
